Марка	Серия	Полная масса [кг]	Максимальный крутящий момент [Н*м]	Мощность двигателя [л.с.]	Объём топливного бака [л]	Разгон до 100 км/ч [сек]	Максимальная скорость [км/ч]
BMW	Touring универсал	2045	280	122	61	10.9	204
BMW	Touring универсал	2045	300	143	61	9.6	210
BMW	Touring универсал	2000	180	129	63	11.4	204
BMW	Touring универсал	2000	190	143	63	10.4	210
BMW	Touring универсал	1970	180	129	63	10.4	206
BMW	Touring универсал	1970	190	143	63	9.5	210
BMW	Touring универсал	2060	340	163	61	8.8	218
BMW	Touring универсал	2060	350	177	61	8.3	226
BMW	Touring универсал	2045	340	163	61	8.6	223
BMW	Touring универсал	2045	350	177	61	8.1	228
BMW	Touring универсал	2000	200	150	63	10.2	213
BMW	Touring универсал	2000	210	170	63	9.2	224
BMW	Touring универсал	1970	200	150	63	9.4	218
BMW	Touring универсал	1970	210	170	63	8.4	226
BMW	Touring универсал	2140	400	197	61	7.7	231
BMW	Touring универсал	2130	400	197	61	7.6	233
BMW	Touring универсал	2130	400	197	61	7.6	233
BMW	Touring универсал	2040	250	218	63	7.9	240
BMW	Touring универсал	2060	270	218	63	7.3	246
BMW	Touring универсал	2010	250	218	63	7.2	243
BMW	Touring универсал	2030	270	218	63	6.9	248
BMW	Touring универсал	2210	250	218	63	8.3	234
BMW	Touring универсал	2200	270	218	63	8.1	240
BMW	Touring универсал	2180	250	218	63	7.7	240
BMW	Touring универсал	2180	270	218	63	7.7	242
BMW	Touring универсал	2130	270	233	63	7.4	209
BMW	Touring универсал	2100	270	233	63	6.8	209
BMW	Touring универсал	2230	270	233	63	7.6	209
BMW	Touring универсал	2210	270	233	63	7.4	209
BMW	Touring универсал	2155	500	231	61	6.9	246
BMW	Touring универсал	2155	500	231	61	6.9	246
BMW	Touring универсал	2140	500	231	61	6.8	248
BMW	Touring универсал	2140	500	231	61	6.8	248
BMW	Touring универсал	2095	300	258	63	6.8	250
BMW	Touring универсал	2095	320	272	63	6.4	250
BMW	Touring универсал	2080	300	258	63	6.4	250
BMW	Touring универсал	2080	320	272	63	6.2	250
BMW	Touring универсал	2255	500	231	61	6.8	236
BMW	Touring универсал	2255	500	231	61	6.8	236
BMW	Touring универсал	2240	500	231	61	6.7	238
BMW	Touring универсал	2240	500	231	61	6.7	238
BMW	Touring универсал	2195	300	258	63	7.1	250
BMW	Touring универсал	2200	320	272	63	6.6	250
BMW	Touring универсал	2180	300	258	63	6.6	250
BMW	Touring универсал	2180	320	272	63	6.4	250
BMW	Touring универсал	2185	580	286	61	6.3	250
BMW	Touring универсал	2185	580	286	61	6.3	250
BMW	Touring универсал	2170	400	306	63	5.9	250
BMW	Touring универсал	2170	400	306	63	5.9	250
BMW	Touring универсал	2155	400	306	63	5.7	250
BMW	Touring универсал	2155	400	306	63	5.7	250
BMW	Touring универсал	2270	400	306	63	5.7	250
BMW	Touring универсал	2255	400	306	63	5.6	250
BMW	Touring универсал	2015	260	115	61	11.2	201
BMW	Touring универсал	2045	320	143	61	9.6	210
BMW	Touring универсал	2060	300	143	61	9.7	210
BMW	Touring универсал	2045	300	143	61	9.6	210
BMW	Touring универсал	2030	320	143	61	9.4	210
BMW	Touring универсал	2000	190	143	63	10.4	210
BMW	Touring универсал	2000	190	143	63	10.4	210
BMW	Touring универсал	1970	190	143	63	9.5	210
BMW	Touring универсал	1970	190	143	63	9.5	210
BMW	Touring универсал	2060	350	177	61	8.3	226
BMW	Touring универсал	2060	380	184	61	7.9	231
BMW	Touring универсал	2045	360	163	61	8.3	223
BMW	Touring универсал	2045	350	177	61	8.1	228
BMW	Touring универсал	2045	380	184	61	7.7	233
BMW	Touring универсал	2145	350	177	61	8.7	220
BMW	Touring универсал	2145	380	184	61	8.4	226
BMW	Touring универсал	2130	350	177	61	8.5	222
BMW	Touring универсал	2130	380	184	61	8.2	228
BMW	Touring универсал	2000	210	170	63	9.2	224
BMW	Touring универсал	2000	210	170	63	9.2	224
BMW	Touring универсал	1970	210	170	63	8.4	226
BMW	Touring универсал	1970	210	170	63	8.4	226
BMW	Touring универсал	2140	400	197	61	7.7	231
BMW	Touring универсал	2145	430	204	61	7.3	235
BMW	Touring универсал	2130	400	197	61	7.6	233
BMW	Touring универсал	2130	430	204	61	7.2	240
BMW	Touring универсал	2060	270	218	63	7.3	246
BMW	Touring универсал	2060	270	218	63	7.3	246
BMW	Touring универсал	2030	270	218	63	6.9	248
BMW	Touring универсал	2030	270	218	63	6.9	248
