Марка	Серия	Полная масса [кг]	Максимальный крутящий момент [Н*м]	Мощность двигателя [л.с.]	Объем двигателя [см3]	Тип двигателя	Количество цилиндров	Тип КПП	Количество передач	Привод	Объём топливного бака [л]	Разгон до 100 км/ч [сек]	Максимальная скорость [км/ч]	Расход топлива в городе на 100 км [л]
BMW	Кабриолет	1940	300	143	1995	Дизельный	4	Автомат	6	Задний	51	9.6	208	7.3
BMW	Кабриолет	1915	300	143	1995	Дизельный	4	Механика	6	Задний	51	9.5	208	5.8
BMW	Кабриолет	1885	190	143	1995	Бензиновый	4	Автомат	6	Задний	53	10.1	208	8.7
BMW	Кабриолет	1885	190	143	1995	Бензиновый	4	Автомат	6	Задний	53	10.1	208	9.2
BMW	Кабриолет	1860	190	143	1995	Бензиновый	4	Механика	6	Задний	53	9.3	210	8.5
BMW	Кабриолет	1860	190	143	1995	Бензиновый	4	Механика	6	Задний	53	9.3	210	8.5
BMW	Кабриолет	1960	350	177	1995	Дизельный	4	Автомат	6	Задний	51	8.2	220	7.4
BMW	Кабриолет	1960	350	177	1995	Дизельный	4	Автомат	6	Задний	51	8.2	220	6.9
BMW	Кабриолет	1950	350	177	1995	Дизельный	4	Механика	6	Задний	51	8.1	222	6.4
BMW	Кабриолет	1950	350	177	1995	Дизельный	4	Механика	6	Задний	51	8.1	222	6.2
BMW	Кабриолет	1900	210	170	1995	Бензиновый	4	Автомат	6	Задний	53	9	218	9.1
BMW	Кабриолет	1900	210	170	1995	Бензиновый	4	Автомат	6	Задний	53	9	218	9.4
BMW	Кабриолет	1870	210	170	1995	Бензиновый	4	Механика	6	Задний	53	8.4	220	8.9
BMW	Кабриолет	1870	210	170	1995	Бензиновый	4	Механика	6	Задний	53	8.4	220	8.8
BMW	Кабриолет	1980	400	204	1995	Дизельный	4	Автомат	6	Задний	51	7.6	230	7.6
BMW	Кабриолет	1980	400	204	1995	Дизельный	4	Автомат	6	Задний	51	7.6	230	7.1
BMW	Кабриолет	1980	400	204	1995	Дизельный	4	Автомат	6	Задний	51	7.6	230	7.6
BMW	Кабриолет	1980	400	204	1995	Дизельный	4	Механика	6	Задний	51	7.5	230	6.7
BMW	Кабриолет	1980	400	204	1995	Дизельный	4	Механика	6	Задний	51	7.5	230	6.7
BMW	Кабриолет	1980	400	204	1995	Дизельный	4	Механика	6	Задний	51	7.5	230	6.6
BMW	Кабриолет	1980	270	218	2996	Бензиновый	6	Автомат	6	Задний	53	7.4	236	11.9
BMW	Кабриолет	1980	270	218	2996	Бензиновый	6	Автомат	6	Задний	53	7.4	236	11.6
BMW	Кабриолет	1950	270	218	2996	Бензиновый	6	Механика	6	Задний	53	6.8	238	11.7
BMW	Кабриолет	1950	270	218	2996	Бензиновый	6	Механика	6	Задний	53	6.8	238	12.1
BMW	Кабриолет	2030	270	233	2996	Бензиновый	6	Автомат	6	Задний	53	7.3	209	13.1
BMW	Кабриолет	1995	270	233	2996	Бензиновый	6	Механика	6	Задний	53	6.7	209	13.1
BMW	Кабриолет	2075	404	305	2979	Бензиновый	6	Автомат	6	Задний	53	5.7	209	13.8
BMW	Кабриолет	2050	400	306	2979	Бензиновый	6	Автомат	6	Задний	53	5.7	250	13.5
BMW	Кабриолет	2040	400	306	2979	Бензиновый	6	Робот	7	Задний	53	5.5	250	11.8
BMW	Кабриолет	2070	404	305	2979	Бензиновый	6	Механика	6	Задний	53	5.6	209	13.8
BMW	Кабриолет	2040	400	306	2979	Бензиновый	6	Механика	6	Задний	53	5.6	250	13.3
BMW	Кабриолет	2030	400	306	2979	Бензиновый	6	Механика	6	Задний	53	5.6	250	12.2
BMW	Купе	1785	300	143	1995	Дизельный	4	Автомат	6	Задний	51	9.1	210	6.9
BMW	Купе	1760	300	143	1995	Дизельный	4	Механика	6	Задний	51	9	210	5.4
BMW	Купе	1820	350	177	1995	Дизельный	4	Автомат	6	Задний	51	7.8	228	7.2
BMW	Купе	1820	350	177	1995	Дизельный	4	Автомат	6	Задний	51	7.8	226	7.2
BMW	Купе	1820	350	177	1995	Дизельный	4	Автомат	6	Задний	51	7.8	226	6.7
BMW	Купе	1815	350	177	1995	Дизельный	4	Механика	6	Задний	51	7.6	228	6.1
BMW	Купе	1815	350	177	1995	Дизельный	4	Механика	6	Задний	51	7.6	228	6.1
BMW	Купе	1815	350	177	1995	Дизельный	4	Механика	6	Задний	51	7.6	228	5.9
BMW	Купе	1760	210	170	1995	Бензиновый	4	Автомат	6	Задний	53	8.4	222	8.9
